"","business_id","name","address","city","state","postal_code","latitude","longitude","stars"
"11110","qd1QvLRMJMPRQIdhyWmhRg","China Wok Chinese Restaurant","204 S Century Ave, Ste A6","Waunakee","WI","53597",43.189589,-89.4612,3
"11118","7XUDdyFFriUkoSTGBYp1ag","Asian Bistro","455 Penn Lincoln Dr","Imperial","PA","15126",40.4426795,-80.235987,4.5
"11274","mF2EW3twSrFPmT_RVV1-Qg","House of Hunan","18 Public Sq","Medina","OH","44256",41.138556,-81.8643775,3
"11290","1ofeAP5vdjnOSeO5S2pzSg","Panda Express","202 Robinson Center Dr","Pittsburgh","PA","15205",40.451404,-80.162472,2.5
"11356","IpQG7s5l7ba5NxyzTxn7pg","Hunan by the Falls","508 E Washington St","Chagrin Falls","OH","44022",41.426765,-81.3738366,4
"11404","4lHIz3Z-6lAICc_1wq25-A","General Tso's Chinese Food","30 Glacier Edge Sq","Cross Plains","WI","53528",43.1113929,-89.6424937,3
"11477","8LUKD_9rkJoUIIuT9uiDbA","Rice Inn","5041 Library Rd","Bethel Park","PA","15102",40.3411925,-80.025801,4
"11488","1qQ5VkxiBUjbGGdpBN-PUQ","Spicy Tang","607 S 6th St","Champaign","IL","61820",40.1107483422,-88.2305816,2.5
"11605","a39B-BfbCipNkNH7vwCfug","Mid-Summer Lounge","623 E Green St","Champaign","IL","61820",40.1101577,-88.2294649,4
"11685","YAhRuV3oRkwGk3Or9PJ3Ww","Happy Garden","3725 Medina Rd, Ste 103","Medina","OH","44256",41.1378021,-81.8214969,3
"11718","4XGjbI2Ggi-kdgt9eZR83w","World Buffet","2451 W Broadway","Monona","WI","53713",43.046421,-89.352063,2.5
"11746","M5rnBQaFtjYTn3T9NIZwcA","China Dragon","100 E Lincoln Ave","Mc Donald","PA","15057",40.3687253,-80.2347236,3.5
"11760","VxwcmqZ56tzPr7ZbLxlhTw","China Wok","6771 University Ave, Ste 107","Middleton","WI","53562",43.0967246413,-89.4980389997,3
"11772","giiWXI4DcXIdvoGmeIOeEQ","Top Food","103 W Kirby Ave","Champaign","IL","61820",40.0977343,-88.245719,3
"11777","_AKdBFzkl7GY-daxUCCbVA","P.F. Chang's","1600 Settlers Ridge Center Dr","Pittsburgh","PA","15205",40.4394636778,-80.1505315304,3
"11820","uno5w5Zkhwn-yFkJgFuYOw","Asian Cuisine","4528 Broadway Blvd","Monroeville","PA","15146",40.389637485,-79.7659568602,4.5
"11835","fVLWfO97Ddac26ptnMuE3A","Tang's Wok","25780 Miles Rd","Bedford","OH","44146",41.4237519,-81.4970228,3
"11889","ve7-f5urgRoFvhoez9eUjA","Tai Wah Asian Cuisine","9160 State Rte 14","Streetsboro","OH","44241",41.2396916527,-81.3421118345,4.5
"11893","afdthOntL8hfhomIFX-NWg","Zen Asian Diner","5100 Butler St","Pittsburgh","PA","15201",40.4783482,-79.9554307,3
"11895","DwmAsemahJywywhuqv5J1Q","Sichuan Gourmet","328 Atwood St","Pittsburgh","PA","15213",40.4389524203,-79.9551590459,4
"11927","h9O1Q4kEklvYdwVsffTpMA","Dragon","3668 Center Rd","Brunswick","OH","44212",41.2385172831,-81.8243254625,4
"11959","z3hD4GX5gSJtuqNhN-o2cg","I Wok","113 Calvin St","Savoy","IL","61874",40.0590115158,-88.2522375155,4
"11974","S1mm3JFYmuewmKfUK8M8iw","Chai's Pittsburgh Fusion","1000 Airport Blvd, Fl 3","Pittsburgh","PA","15231",40.4961011227,-80.2459079054,3.5
"12011","fjRVqTl82Sql3GarA_QzIg","Tipsy cow","2816 Prairie Lakes Dr, Ste 107","Sun Prairie","WI","53590",43.168956,-89.267735,3.5
"12023","4v_RbefzvGkixXXJkn-bzw","Szechwan Garden","13800 Detroit Ave","Lakewood","OH","44107",41.4860001,-81.813755,4
"12061","6tY0tn39Mb8FCLYBAXXOUw","China Renaissance","29336 Lorain Rd","North Olmsted","OH","44070",41.407014,-81.946028,3.5
"12164","WdtmkT5lWzW167T3rBxKsw","China House","22316 Lake Shore Blvd","Euclid","OH","44123",41.6093293,-81.5256507721,3
"12552","gyDTYm_NDWXEHBPGnL-oRQ","Noodles & Company","232 State St Johnson","Madison","WI","53703",43.0749274,-89.3895327,3
"12568","UoAPfKoSKJ8B5uXZ2prfeQ","Moonstar","768 N Main","Oregon","WI","53575",42.9374286,-89.3829876,3.5
"12644","cUfSGsjKP7ma8FbFqTmZLA","Honeymoon Chinese Restaurant","2021 Clay Pike","Irwin","PA","15642",40.3043179,-79.7265755,4.5
"12713","cxVp-a28Cp7lavjaPMvK5w","Social House Seven","123 7th St","Pittsburgh","PA","15222",40.4440719,-80.0003438,3.5
"12734","VUDwlypqw1-DTK_lfEP4jg","Panda","238 Crafton Ingram Shp Ctr","Pittsburgh","PA","15205",40.441887,-80.07068,2.5
"12754","bLh4ysq5RsbzCNSjqHhwyw","Hong Kong Cafe","2 S Mills St","Madison","WI","53715",43.0675283,-89.4043358,3
"12760","baedk40VCeup34ltsDsAHA","China Express","465 Valleybrook Rd","Canonsburg","PA","15317",40.2795221,-80.084266,4
"12784","GV5jI4xbBLNiqujLIFrcuw","China House","333 Allegheny Ave","Oakmont","PA","15139",40.5159282,-79.8437835,4
"12811","ui4fyPJ_HRm4HPkEmIHQOA","Chef Chen Chinese Resturant","7211 Saltsburg Rd","Pittsburgh","PA","15235",40.477723,-79.788716,4
"12819","3BkMnrNVkG_szOP0wQlX5A","C-U LaLa Noodle","410 E Green St, Ste 13","Champaign","IL","61820",40.1106376,-88.2324833,1.5
"12823","QlAPX3c0Vm2dU_w3puIAIw","Double 10 Mini Hot Pot","1272 S Park St","Madison","WI","53715",43.0529651478,-89.396253417,4.5
"12890","3_STYcEwVsieJPo0GWjxLw","King Fong","14055 Lorain Ave","Cleveland","OH","44111",41.4543631,-81.7915459,4
"12955","yGdO0huBvnAhyEX7fZO7og","Honeymoon Chinese Restaurant","6348 Library Rd","South Park","PA","15129",40.290431829,-80.028886148,3.5
"13053","kJtijhRR8fl4QIrj-oxf9g","Golden Lily","6253 Pearl Rd","Cleveland","OH","44130",41.3910537,-81.7606659,3.5
"13090","GfYzz2Dnnn0CqeDqROAKTQ","China Inn","4702 Cottage Grove Rd","Madison","WI","53716",43.0845532,-89.3010694,2.5
"13115","7sz9Rw1dbIEfLy-L9qB3Tw","Chopstick Chinese Restaurant","11332 Euclid Ave","Cleveland","OH","44106",41.5084707891,-81.6051659116,3.5
"13184","N3ZbTZfWC_oyIUxuX9KJYA","Teriyaki Express","13201 Superior Ave","East Cleveland","OH","44112",41.523271476,-81.5907681361,2
"13197","DtAND35Vc4dY7usrGtbR7w","Ho Wah","2101 Richmond Rd","Beachwood","OH","44122",41.500679,-81.496429,3
"13198","wNlpUnbCwAsMAu9Z1wc2nw","Imperial Dragon","8310 Tyler Blvd","Mentor","OH","44060",41.682391,-81.342572,3.5
"13248","2F6dAex41iqsoxjSX4xAZA","Dragon Gate","6681 W 130th St","Parma Heights","OH","44130",41.3822818,-81.7841118,4
"13368","swfdlAMXwV8OjYD5nkA6nQ","China Palace of Wexford","10441 Perry Hwy, Ste 12","Wexford","PA","15090",40.6068273,-80.0525208,3.5
"13399","eW6HLU-M3xJOpGyKLrWxUg","Asian Cafe","701 Cooke Dr","Pittsburgh","PA","15234",40.3689607,-80.033156,4
"13422","h0Wmyzb8q0bXbrqmWqVvfQ","Jackie Chen's Dragon Towers Chinese Restaurant","17452 Lorain Ave","Cleveland","OH","44111",41.4514697,-81.8188615,4
"13498","KtTGy-OBBqPSs774NnEl4Q","Cleveland Chiropractic and Integrative Health Center","8803 Brecksville Rd, Ste 13","Brecksville","OH","44141",41.3222428,-81.6260276,5
"13538","zOHQdGK6D3S0rvyNsrQi0Q","Royal Buffet & Grill","1930 Buchholzer Blvd","Akron","OH","44310",41.1155648,-81.4732174,3
"13576","aURWnSm0BrHhp-0DSXFJww","House of Hunan","7571 Pearl Rd","Cleveland","OH","44130",41.359141,-81.814601,4
"13606","CbsS6VvPsIvpytUbLAu71Q","Oriental Palace Buffet","3364 Warren Rd","Cleveland","OH","44111",41.4624927,-81.8032376,3
"13635","74O-ZufCco3hBcMQc3Vf8Q","iNoodle","1060 Morewood Ave","Pittsburgh","PA","15213",40.4454444,-79.9432431,2
"13637","fZfoi-VMMcv9Uc4QYgbOHw","A-Wok Restaurant","3871 Medina Rd, Ste B","Akron","OH","44333",41.13698,-81.638452,4
"13680","dmiSOfKvwfjNHMQddKGG_Q","Golden Gate Restaurant","700 Saint Clair Ave","Clairton","PA","15025",40.2933624,-79.8892245,3
"13687","ErGfEO3dZB37kxYjTZUXAA","Red China","909 5th Ave","Coraopolis","PA","15108",40.518369,-80.166268,3.5
"13697","JftoP9r6TT98v83hfY9RZw","Mandarin House Chinese Restaurant","10393 W Pleasant Valley Rd","Cleveland","OH","44130",41.36342,-81.7580821,3.5
"13760","B10A-q2fskHqLx5miQpmOw","WFH Oriental Food Market","2306 Penn Ave","Pittsburgh","PA","15222",40.4527925,-79.9811055,4
"13776","BIqsItY0vyOshMpJ0I4cPg","How Lee Chinese Food","5888 Forbes Ave","Pittsburgh","PA","15217",40.4377788,-79.9195544,3.5
"13818","imBVeP4aA-aLTdPD-t8_WQ","China Wok","1724 Fordem Ave","Madison","WI","53704",43.0945835,-89.3641631,3
"13878","yAkaDc6MWX3dy8bnEcCrRQ","Imperial Garden","2039 Allen Blvd","Middleton","WI","53562",43.090642,-89.485169,3
"13912","FOIQ49HJ6Y5fPl8QYr34XA","Hunan Inn","3939 Washington Rd","McMurray","PA","15317",40.2706066,-80.1262667,3.5
"13999","hUtc2gE-UIcvoQ9tXUJMUA","Golden Place the Chinese Restaurant","29 Erie Rd","Tallmadge","OH","44278",41.1004824,-81.4374514,4
"14051","-ORqiS4L-8pq3dLsUazXTg","Asian House","1300 Hoffman Blvd, Ste 1808","West Mifflin","PA","15122",40.3836653131,-79.8676539436,3.5
"14052","pGjtxXBq4tZcdKdgTU-Tww","Little Hong Kong","18332 Bagley Rd","Middleburg Heights","OH","44130",41.3732701,-81.8296017,4.5
"14094","UslSiDSUTCaq62FMpWK6Lw","China Max","1000 Ross Park Mall Dr","Pittsburgh","PA","15237",40.5428252,-80.0075487,2.5
"14113","lQMZ2Rd0jGf1ZpekZpr1MA","China Sea","417 E 200th St","Euclid","OH","44119",41.5946372,-81.5399086,3.5
"14114","USRXU4ASBAFSKhlk-KVrCw","Bo Loong","3922 St Clair Ave NE","Cleveland","OH","44114",41.5157095,-81.6646469,3
"14158","7aZf5c1UNotq4MabBXMZLA","Sichuan Gourmet","1900 Murray Ave","Pittsburgh","PA","15217",40.4358226,-79.9230998,3.5
"14175","XBVp2d7UVJRxc70QcjvKIA","China Fortune","400 Swiss Way","Elizabeth","PA","15037",40.280573,-79.83535,3.5
"14304","v-E_fwn4CesE_rdmxvwvSQ","Panda Express","21085 Center Ridge Rd","Fairview Park","OH","44126",41.4613136116,-81.8538868368,2
"14429","v_YaNPJbP1XKGG-R_vUZ1Q","Golden Gate Chinese Restaurant","16009 Hilliard Rd","Lakewood","OH","44107",41.4766034,-81.8091383,3.5
"14590","Ny7Y1Rlhwi5n4LHIpUA21g","King Dragon","20906 Drake Rd","Strongsville","OH","44149",41.290602,-81.8567133,3.5
"14621","e7M2GgkCfDYTxdPN1LL1sQ","Wai Wai Chinese Cuisine","4717 Liberty Ave","Pittsburgh","PA","15224",40.4620688,-79.9491308,3.5
"14656","VfWX3UCKvUnVktdOuR8TwA","DumplingHaus","540 N Midvale Blvd","Madison","WI","53705",43.071461,-89.452308,4
"14673","odInwsyYJlTelH-X-L9Dvg","Madison's Family Wellness","222 N Midvale Blvd, Ste 1","Madison","WI","53705",43.069229,-89.451678,4
"14755","R_Z2wQ5dSBihyGVwDFKaeg","East China","16834 Chagrin","Shaker Heights","OH","44120",41.4642597,-81.5617282,3
"14879","r5Ka92j1QFklGABmJKD03Q","Imperial Wok","1883 W Market St","Akron","OH","44313",41.1127402,-81.5756281,3.5
"15046","ImzivIgEc3XHpAYJyMQnxA","Ming Cheng Restaurant","1687 E Main St","Kent","OH","44240",41.1558329,-81.332927,3
"15108","i55cm4i5C7fSCVONIQ8DRg","New Wong's Chinese Restaurant","30160 Euclid Ave","Wickliffe","OH","44092",41.615892,-81.4609137,4
"15122","m4DwPVxmFDQE_FnGIOa3cQ","Sunny China Buffet","1703 Philo Rd","Urbana","IL","61802",40.0976392,-88.1912166,4
"15152","vEwazCciremwBgkRJgfXtw","Kiyoshi","6506 University Blvd","Coraopolis","PA","15108",40.5189266,-80.2192076,3.5
"15370","nDT0T3yW6G89vzdx4p_P4A","Jin House","2255 Kresge Dr","Amherst","OH","44001",41.4170213984,-82.208032608,3.5
"15396","-865Ps6xb3h1LP67JcQ3mA","Rainbow Garden","202 E University","Urbana","IL","61801",40.1167919,-88.205811,3
"15431","Kxlt3ZNmTzbxRFYelWAmKA","China Chef","15200 Puritas Ave","Cleveland","OH","44135",41.435459,-81.8028408,3
"15468","SbWqeztXrCTsYMsf6KGYvg","Wok of the Falls","8185 Columbia Rd","Olmsted Falls","OH","44138",41.373432,-81.901042,3.5
"15662","D0KX5BQsbaIcWd-TpQ4wLg","Peking House Restaurant","806 Eastwood Dr","Mahomet","IL","61853",40.196657487,-88.3959178407,4.5
"15705","ejdBoVvEdn5fdycuJRen8Q","First Wok","1805 Philo Rd","Urbana","IL","61802",40.0962948,-88.1920978,4
"15708","7HVeDuuAy5NM5pdeZJ-lzg","Fun Buffet","9361-9391 Cleveland E Liverpool Rd","Streetsboro","OH","44241",41.2409579527,-81.3521957133,1
"15758","7U73RqIg6JA0WThxWUV3uA","Jade Grille","670 Washington Rd","Pittsburgh","PA","15228",40.3805957,-80.0448481,4
"15789","LbeJgPgKKHw5qH0f02NHEQ","Chinatown Inn","520 3rd Ave","Pittsburgh","PA","15219",40.4371064013,-79.9973292903,4
"15831","GeZiOW34ZL6jC9g-mq9QvA","Hop Hing","5630 Wallings Rd","North Royalton","OH","44133",41.3305464,-81.7263279,3.5
"15848","tZB8K6RP7BPou0X2tZ-hDg","China City","6080 Steubenville Pike","Mc Kees Rocks","PA","15136",40.4433533463,-80.1450877457,3
"15956","7OKQ4ENVfPfxtDqFOG7x0g","A8 China","608 University Ave","Madison","WI","53715",43.0734206,-89.3961792,2.5
"15969","pi1UM_U1hq-DwDYqQRK1Wg","Hunan One","7901 Euclid Ave","Cleveland","OH","44103",41.5044946,-81.633217,2.5
"16025","mvhokWwVKgfE-koLlc4VEw","Auntie Lee's Chinese Kitchen","49 E Green St, Ste B","Champaign","IL","61820",40.1101985,-88.2402729,2.5
"16033","vsoEZauF4lrADIqCYXySFQ","Chopstix","202 E Green St, Ste 1","Champaign","IL","61820",40.1105528,-88.2366073,3
"16125","EEAtafGPtPhwERoM3onXuw","Panda Chinese Kitchen","590 W Pike St","Canonsburg","PA","15317",40.2581081,-80.203501,2.5
"16130","vAyQDNs9lu_8hT20lleGqg","China Cafe","637 Brown Ave","Turtle Creek","PA","15145",40.425353,-79.834881,2.5
"16205","ff-gd07sG0Y_4i67LqORSA","Tokyo Hibachi and Sushi","5990 University Blvd","Moon","PA","15108",40.5212671,-80.2197775,4
"16410","Bv1AGJ3p_X35tqUcVDrpHg","China King","33125 Center Ridge Rd","North Ridgeville","OH","44039",41.40475,-81.982606,3.5
"16470","TTVXY5vOJDqC0_Je8UhK8A","Chang Jiang Restaurant","5710 Raymond Rd","Madison","WI","53711",43.0325352,-89.4780944,3.5
"16547","jfK-_0x_r7Qgdg2wj60iAQ","Smiles Chinese Food","500 W Aurora Rd","Northfield","OH","44067",41.3135096898,-81.5569987893,3
"16565","eXJEiAuNRLbU5EzdAkj9yQ","Blissful Foot Spa","27629 Chagrin Blvd, Ste 102","Woodmere","OH","44122",41.4625492,-81.4829624,3.5
"16575","yauL5BpUTGukejbJskXl_g","China Park","532 Monongahela Ave","Glassport","PA","15045",40.3264474,-79.8926996,4
"16757","uSANDilamc1QSiCinFSKYw","World Buffet","499 D'Onofrio Dr","Madison","WI","53719",43.057758331,-89.5138889074,3
"16824","QvKN1zh_BCFai6oDCx3d_g","Spring Garden Chinese","4737 W 130th St","Cleveland","OH","44135",41.4251187,-81.7797488,3.5
"16888","MA5R-mV6ljRM1MK6Mdiv5g","Panda Express","2000 N Neil St","Champaign","IL","61820",40.142039,-88.244042,3.5
"16955","t4rBeSFDfwvaIbLftLlhig","Resolution Health Collaborative","345 W Washington Ave, Ste 404","Madison","WI","53703",43.071346,-89.3880049,5
"17118","25CzbDgm1MsT31NhA6KYog","Kasai Kogi Bar","146 E Main St","Carnegie","PA","15106",40.4079873,-80.0857029,4
"17162","BpU9-wcOWyKcVtkvnfRazA","Wok & Grill","120 5th Ave","Pittsburgh","PA","15222",40.4419737,-80.0034017,2.5
"17163","KLvpdtFYUi1I0LNsmIqeJw","Happy Wok","429 Commerce Dr","Madison","WI","53719",43.059889,-89.523622,3.5
"17353","i_t8WTwztuHweRqQ89hmuQ","Panda Express","2521 N Prospect Ave","Champaign","IL","61822",40.1460326346,-88.2585361671,3.5
"17436","OmP2SCE411tncZ8umlP0Ag","China Mountain II","31616 Vine St","Willowick","OH","44095",41.642097,-81.4653488,3.5
"17591","i6CxDaUKAj-HKWijwY9yGg","Tai Pan","15412 W High St","Middlefield","OH","44062",41.463254,-81.091011,3.5
"17649","BBpEOprko-9I8bnon9N0ew","Ni's Express Chinese Restaurant","6064 Broadview Rd","Cleveland","OH","44134",41.3988434,-81.6896375,3
"17650","WcHMfQZzs3G5UVY_zBB2FA","Hop Hing Chinese Restaurant","891 N Court St","Medina","OH","44256",41.1504944,-81.8647894,3.5
"17657","ja7zjowr6ymsVglQXZZ6BA","Great Taste Chinese Restaurant","1803 E 12th St","Cleveland","OH","44114",41.501901,-81.6845327,2.5
"17696","hoGyiTjrri-Sq3-EaO7Kpw","Thai Gourmet","6901 Rockside Rd, Ste 3","Independence","OH","44131",41.395547,-81.641748,4
"17776","DA3Dzic8NAJ0LYnYZG9nyQ","Evergreen Chinese Buffet","1665 E Main St","Kent","OH","44240",41.155117,-81.3338391,3
"17829","MwsGayIlUkXQ46mkmV3jlA","Wok In Heaven","415 Unity Center Rd","Pittsburgh","PA","15239",40.4894052,-79.7771043,3
"17838","hwe7f0QthkND-H4Ekg37qw","New Dumpling And Sushi House","2138 Murray Ave","Pittsburgh","PA","15217",40.4326061,-79.9233686,3.5
"17857","cRTkev8c66o6q6v7FstjLA","Szechuan Cafe","2999 Payne Ave, Ste 145","Cleveland","OH","44114",41.5085099,-81.669681,4
"18030","loXkZgAd70KMjP8ISCnZPQ","China Express","5720 Ridge Rd","Cleveland","OH","44129",41.4067881,-81.7348849,4
"18038","-_DxZ8gKU50sfuZEu4ypKg","Saigon Restaurant and Bar","2061 E 4th St","Cleveland","OH","44115",41.498806,-81.68987,4
"18283","cjKplU8iMakS8Q7ZorzYVA","New China House","4309 Northern Pike","Monroeville","PA","15146",40.4349398,-79.7535085,3.5
"18290","odfX0wO7fOyqa8oobxh96w","Fu Lai Chinese Restaurant","525 Penn Ave","Pittsburgh","PA","15222",40.442795,-80.003094,2.5
"18329","oaTbZh8B-IVFEwbzJcIOBg","Azan Wok","2352A Golden Mile Hwy","Pittsburgh","PA","15239",40.4619795636,-79.704999769,4
"18354","zXJilaBN28oUdX7Owf0fRA","Sakura Teppanyaki & Sushi","5882 Forbes Ave","Pittsburgh","PA","15217",40.4378362,-79.9196769,3
"18503","6PUprRU5wMDcFw0pU6Ejvg","Red Sage Health","1251 Williamson St","Madison","WI","53703",43.084276,-89.3625239,5
"18554","nQ9603jcJ_Nk9WBxvSFH_Q","Main Moon","4439 Kent Rd","Stow","OH","44224",41.156902,-81.400806,3
"18626","74wRr6PP6lbaL1YzUcYGAA","Golden Palace Buffet","3607 Forbes Ave","Pittsburgh","PA","15213",40.4408628,-79.9581821,3.5
"18723","hKfuDwUbWJWdQWmXS_g9PA","Yummy Garden","1879 E Main St","Kent","OH","44240",41.1548503606,-81.3291830197,4.5
"18733","Hiqb7coNwQgEoAR9bn5XMg","China House","411 N Main St","Grafton","OH","44044",41.2860414769,-82.0647000521,5
"18767","ZM-ljL_Y6bR4qEYsGHws5A","LaVida Massage","2731 W Market St","Fairlawn","OH","44333",41.1231061,-81.5993855,3.5
"18855","bvTyaYHXupi1c5mbs65RyQ","Great Wall China Buffet","5088 Great Northern Blvd","North Olmsted","OH","44070",41.415672135,-81.9118310469,2
"18863","CuIPocteo1F3LEn1OqUoHg","China Jade","2190 Brookpark Rd","Cleveland","OH","44134",41.4198193,-81.6967548,4
"18903","zG3GJiIrF01bwgP0tQdkZg","House of Hunan","2717 W Market St","Fairlawn","OH","44333",41.1249699437,-81.6013761333,4
"18962","tRrMljYqr48OjWoHDDkSoQ","Hunan Wok","500 Pine Hollow Rd","Mc Kees Rocks","PA","15136",40.4739107191,-80.0972720598,2.5
"18984","HHGuAjkU9gQyxpwTZAJ_aQ","China King","Monroeville Mall","Monroeville","PA","15146",40.429137,-79.796003,3.5
"19003","WghhtS-tqDWMh_W2O13CYA","Panda Express","2100 Warrensville Center Rd","South Euclid","OH","44121",41.5024785,-81.5367239,2
"19033","fy5ZE8oCtEw5Jiu-HjTE_A","China Max","1000 Robinson Centre Dr","Pittsburgh","PA","15205",40.4534555566,-80.1576923579,2.5
"19062","F8ZTmT9pGiSF2jx9FZDjdQ","Zuki Sushi House","899 E Aurora Rd","Macedonia","OH","44056",41.314242764,-81.5064394794,5
"19154","asAHqgKQtCWiBbC3XriSIQ","Chang Jiang","646 S Gammon Rd","Madison","WI","53719",43.0505454,-89.5039768,3.5
"19155","zkW7OAv8Cnb-3SxEBOubTQ","Zhen Choo Chinese Restaurant","268 Yost Blvd","Pittsburgh","PA","15221",40.414095,-79.855779,4
"19209","RwwV2LrIbdquFw6SN-l27Q","Nüjoy","11311 Euclid Ave","Cleveland","OH","44106",41.5087236,-81.6059985,3
"19334","p9rvoRXzEf7Y2nTaqnotxw","Lin's Garden","5560 William Flynn Hwy","Gibsonia","PA","15044",40.633042,-79.9397751,4
"19359","OZhRvcJ8WjnvRaRQVirD6w","China Star","3283 W 117th","Cleveland","OH","44111",41.4629421368,-81.76851511,2.5
"19364","rLJsrXyY61bouCfH58PKIA","Asian House","1 Dempsey Rd, Ste 3","Madison","WI","53714",43.0979823,-89.3171363,3
"19448","LV6nlFQTt-KFdtapmsSzUw","Empire Chinese Restaurant","4793 Turney Rd","Cleveland","OH","44125",41.4299916,-81.6152494,2.5
"19541","ubVWVTrw4zvsqnaW22-BMw","Pine Garden Restaurant","2519 W 21st St","Lorain","OH","44053",41.4503616,-82.2040307,4
"19614","e_W6Q-qOHcUR5ZKrwvC2qw","China Town II","2051 W 25th St","Cleveland","OH","44113",41.4835681,-81.7025072,3
"19628","CxV9DJCxc04_xkDRSrfgFA","China Mountain I","14959 Saint Clair Ave","Cleveland","OH","44110",41.5531628,-81.5769338,3
"19662","VGKq16vCdPPHMoryy6XTHg","Natt Spil","211 King St","Madison","WI","53703",43.0745755344,-89.3797444136,4
"19677","IcrFc5IwCcKyGbVmgWjVjg","Red Dragon","213 S Highland Ave","Pittsburgh","PA","15206",40.458491,-79.924781,4
"19693","Jo5wAt5LYqPKYU1-D7-pfw","Hunan Express","112 Barrington Town Square Dr","Aurora","OH","44202",41.3198836259,-81.3489263158,3.5
"19697","cDpUshHyJHDEc19TSTulJw","Urbana Acupuncture","155-A Lincoln Square Mall","Urbana","IL","61801",40.1108024867,-88.2064390182,5
"19705","d0_yLkH7u16tlcvvU-zIxw","House of Pearl Chinese Restaurant","3329 Center Rd","Brunswick","OH","44212",41.2402175,-81.8069358,2.5
"19754","NyGlEmuYcpZSKfk6IwJeSw","Tavernakaya","27 E Main St","Madison","WI","53703",43.074343,-89.381956,3.5
"20081","LRLc0c1pQwa9VSG7EpZRtg","Empress Court","8307 Washington St","Chagrin Falls","OH","44023",41.4143997,-81.3453343,3.5
"20158","jgh9iT5k7JxkeK9gu4VJAw","Koi Sushi","502 State St","Madison","WI","53703",43.0749781543,-89.3934160843,3
"20178","dFywNDTZ1AnxhaEqxlA5Ug","Fuji Buffet & Grill","9130 Mentor Ave","Mentor","OH","44060",41.674609,-81.312389,4
"20311","v630GIZJUVlggrMSDLGclQ","No.1 Asian Buffet","1990 Cooper Foster Park Rd","Lorain","OH","44053",41.418297,-82.2030839,2
"20340","cGQKUOAZm_VHcQOJWbatog","P.F. Chang's","148 W Bridge St","West Homestead","PA","15120",40.4071506495,-79.9160729349,3
"20406","_qyMW3Pme2F--1Q2U0WKWg","Chinese Relaxation Center","89 E Towne Mall","Madison","WI","53704",43.125046,-89.3062163,3.5
"20658","6Qpo9mVLl60gu-ajJvcBLQ","Happy Wok","2409 W Broadway","Monona","WI","53713",43.044919,-89.349625,3.5
"20667","QQSlx-l_cfwkVrNwjV_HgQ","House of Lee Restaurant","8145 Ohio River Blvd","Pittsburgh","PA","15202",40.5100195,-80.0951113,2.5
"21093","yUdpBeR_sBzornB9x90VoA","Acupuncture First","2306 W 17th St, Ste 1","Cleveland","OH","44113",41.480568,-81.6961174,5
"21120","0Z4__YJxeGnYcbx05Mfw_w","Honey Moon Chinese Restaurant","2021 Clay Pike","Irwin","PA","15642",40.305713,-79.726267,2.5
"21318","5It12biyGxe2Dz6kkf7wGQ","Oriental Express","2610 Brandt School Rd","Wexford","PA","15090",40.6150568032,-80.0913698314,3.5
"21359","uA9tzuzID3t5yZ8rhZ1bQw","New China Jade","4313 Walnut St","McKeesport","PA","15132",40.322875,-79.833339,4
"21372","X4CRPHvv-33kjxVJISZpUg","Little Asia","311 S Craig St","Pittsburgh","PA","15213",40.4454519,-79.9485255,3
"21485","xULATz2siGXOPia614mg2A","Lulu's Noodles","400 S Craig St","Pittsburgh","PA","15213",40.445131,-79.9490568,3
"21506","qx-d5K0fugvnrW5AYcTqlw","Teriyaki Express","7060 Denison Ave","Cleveland","OH","44102",41.4620701,-81.7366726,3.5
"21646","2pmOI_mrn1ZWB88IeiOMkA","Wah Sun","12550 Chillicothe Rd","Chesterland","OH","44026",41.5277673,-81.3389531,4
"21715","tQaIWc9qeiB1IU163LKlAw","Panda Express","627 S Wright St","Champaign","IL","61820",40.1105984,-88.2290979,3
"21737","kVXyz0mYd7NaGuGdM_VMeQ","Asian Sweet Bakery","1017 S Park St","Madison","WI","53715",43.0560299,-89.3976643,4.5
"21994","n8LVLEDlros22tjshJX7-w","New Asian Delight","5391 Warrensville Center Rd","Maple Heights","OH","44137",41.414397,-81.536049,4
"22018","Vu6yNbKinh-54QT8i27LCw","Hong Kong Kitchen","2802 Clark Ave","Cleveland","OH","44109",41.470185,-81.701072,4
"22045","Ucph9MH577u6j0zPK93amw","China Star","111 River Pl","Monona","WI","53716",43.0474245,-89.326964,3
"22319","khKH3drFrWAGPhCRUS0hkA","Grand China Restaurant","2388 Jackson St","Stoughton","WI","53589",42.9225553,-89.2497418,3.5
"22329","WPt9WEMSgDER4QYSp8RLpw","China Dragon","11680 Snow Rd","Parma Heights","OH","44130",41.4053424,-81.7682081,4
"22618","GqBP4UM_z2BAJz_ZUzdecA","Eastern Palace","1200 Corporate Dr, Ste 1","Canonsburg","PA","15317",40.299569,-80.174926,4
"22813","Tm2dKN_-DCdZfF2xMWrX7w","Siam Cafe","3951 St Clair Ave NE","Cleveland","OH","44114",41.516503,-81.6649155,4
"22814","BY1_pf7FHUycHOwYEenDlQ","Hunan's Palace","2360 Ardmore Blvd","Pittsburgh","PA","15221",40.415564,-79.848911,4
"22832","e9FftJq9v_porLZT7iSEhg","Imperial Wok Chinese Restaurant","33825 Aurora Rd","Solon","OH","44139",41.3852806091,-81.4384078979,3.5
